GEOID,UNDER18,AGE18_64,OVER64
330019651001000,0,0,0
330019651001001,0,0,0
330019651001002,0,0,0
330019651001003,0,0,0
330019651001004,0,0,0
330019651001005,0,1,2
330019651001006,13,47,32
330019651001007,0,12,4
330019651001008,0,3,4
330019651001009,0,0,0
330019651001010,0,0,0
330019651001011,0,0,0
330019651001012,0,0,0
330019651001013,0,0,0
330019651001014,16,21,8
330019651001015,0,0,0
330019651001016,0,0,0
330019651001017,6,20,6
330019651001018,0,0,0
330019651001019,1,14,4
330019651001020,0,1,1
330019651001021,5,28,14
330019651001022,0,0,0
330019651001023,1,3,4
330019651001024,0,0,0
330019651001025,4,17,6
330019651001026,0,0,0
330019651001027,7,34,8
330019651001028,0,0,0
330019651001029,0,0,0
330019651001030,0,2,0
330019651001031,13,41,18
330019651001032,0,0,0
330019651001033,0,1,0
330019651001034,0,0,0
330019651001035,0,0,0
330019651001036,7,9,7
330019651001037,0,0,0
330019651001038,0,0,0
330019651001039,0,0,0
330019651001040,0,0,0
330019651001041,0,0,0
330019651001042,0,0,0
330019651001043,0,0,0
330019651001044,0,0,0
330019651001045,0,0,0
330019651001046,0,0,0
330019651001047,0,0,0
330019651001048,0,0,0
330019651001049,0,0,2
330019651001050,0,0,0
330019651001051,0,0,0
330019651001052,0,0,0
330019651001053,13,26,5
330019651001054,16,42,9
330019651001055,6,24,2
330019651001056,11,57,33
330019651001057,0,0,0
330019651001058,0,2,0
330019651001059,10,40,5
330019651001060,0,0,0
330019651001061,0,0,0
330019651001062,0,5,0
330019651001063,3,19,2
330019651001064,0,19,8
330019651001065,0,0,0
330019651001066,29,72,15
330019651001067,0,0,0
330019651001068,0,0,0
330019651001069,0,0,0
330019651001070,2,27,11
330019651001071,0,0,0
330019651001072,0,0,0
330019651001073,0,0,0
330019651001074,1,4,0
330019651001075,0,0,0
330019651001076,0,0,0
330019651001077,0,11,4
330019651001078,0,0,0
330019651001079,0,0,0
330019651001080,4,9,2
330019651001081,6,11,0
330019651001082,0,0,0
330019651001083,0,0,0
330019651001084,0,5,2
330019651001085,6,27,1
330019651001086,1,8,0
330019651001087,0,0,0
330019651001088,2,8,9
330019651001089,0,0,0
330019651001090,0,1,0
330019651001091,0,0,0
330019651001092,0,0,0
330019651001093,6,8,0
330019651001094,0,0,0
330019651002000,0,0,0
330019651002001,0,0,0
330019651002002,0,0,0
330019651002003,0,0,0
330019651002004,0,0,0
330019651002005,0,0,0
330019651002006,0,0,0
330019651002007,0,5,4
330019651002008,4,12,2
330019651002009,7,11,3
330019651002010,0,2,0
330019651002011,2,8,0
330019651002012,0,0,0
330019651002013,4,4,0
330019651002014,0,2,0
330019651002015,3,2,0
330019651002016,0,2,0
330019651002017,0,0,4
330019651002018,0,0,0
330019651002019,0,0,0
330019651002020,0,0,0
330019651002021,0,0,0
330019651002022,2,2,0
330019651002023,0,2,4
330019651002024,5,18,2
330019651002025,0,0,0
330019651002026,1,8,2
330019651002027,0,2,0
